year,month,product,country,volume_kg,value_usd
2023,01,CRUSTACEANS NSPF FROZEN,NORWAY,208,7629
2023,01,CRUSTACEANS NSPF FROZEN,VIETNAM,15265,89142
2023,01,CRUSTACEANS NSPF LIVE/FRESH,INDONESIA,108,6480
2023,01,CRUSTACEANS NSPF PREPARED/PRESERVED,CHILE,102080,935645
2023,01,CRUSTACEANS NSPF PREPARED/PRESERVED,CHINA,7654,31447
2023,01,CRUSTACEANS NSPF PREPARED/PRESERVED,EGYPT,427444,3071439
2023,01,CRUSTACEANS NSPF PREPARED/PRESERVED,GHANA,5000,8223
2023,01,CRUSTACEANS NSPF PREPARED/PRESERVED,LATVIA,17152,78779
2023,01,CRUSTACEANS NSPF PREPARED/PRESERVED,NIGERIA,2953,4603
2023,01,CRUSTACEANS NSPF PREPARED/PRESERVED,SOUTH KOREA,1903,21736
2023,01,CRUSTACEANS NSPF PREPARED/PRESERVED,SPAIN,11939,56128
2023,01,CRUSTACEANS NSPF PRODUCTS PREPARED DINNERS,CANADA,51502,657150
2023,01,CRUSTACEANS NSPF PRODUCTS PREPARED DINNERS,CHINA,22664,47516
2023,01,CRUSTACEANS NSPF PRODUCTS PREPARED DINNERS,FRANCE,15091,79463
2023,01,CRUSTACEANS NSPF PRODUCTS PREPARED DINNERS,SPAIN,8001,139830
2023,01,CUTTLEFISH DRIED/SALTED/BRINE,CHINA,380,2660
2023,01,CUTTLEFISH DRIED/SALTED/BRINE,CHINA - HONG KONG,1812,20312
2023,01,CUTTLEFISH DRIED/SALTED/BRINE,INDIA,36846,204627
2023,01,CUTTLEFISH DRIED/SALTED/BRINE,PORTUGAL,1440,16059
2023,01,CUTTLEFISH DRIED/SALTED/BRINE,SOUTH KOREA,936,13380
2023,01,CUTTLEFISH DRIED/SALTED/BRINE,SPAIN,1320,16661
2023,01,CUTTLEFISH DRIED/SALTED/BRINE,SRI LANKA,5144,51279
2023,01,CUTTLEFISH DRIED/SALTED/BRINE,TAIWAN,21060,92200
2023,01,CUTTLEFISH DRIED/SALTED/BRINE,THAILAND,6494,83517
2023,01,CUTTLEFISH DRIED/SALTED/BRINE,VIETNAM,4505,56992
2023,01,CUTTLEFISH FROZEN,CHINA,99500,244830
2023,01,CUTTLEFISH FROZEN,INDIA,78520,500808
2023,01,CUTTLEFISH FROZEN,INDONESIA,8395,55585
2023,01,CUTTLEFISH FROZEN,MALAYSIA,12750,69059
2023,01,CUTTLEFISH FROZEN,SOUTH KOREA,2491,25110
2023,01,CUTTLEFISH FROZEN,THAILAND,7620,65423
2023,01,CUTTLEFISH FROZEN,VIETNAM,15817,113174
2023,01,CUTTLEFISH LIVE/FRESH,JAPAN,50,2022
2023,01,CUTTLEFISH NSPF PREPARED/PRESERVED,JAPAN,3580,61608
2023,01,CUTTLEFISH NSPF PREPARED/PRESERVED,MALAYSIA,4344,24182
2023,01,CUTTLEFISH NSPF PREPARED/PRESERVED,SOUTH KOREA,1440,12439
2023,01,CUTTLEFISH NSPF PREPARED/PRESERVED,TAIWAN,9810,58949
2023,01,CUTTLEFISH NSPF PREPARED/PRESERVED,THAILAND,2568,41934
